Temps;Vitesse du véhicule;Tension batterie de traction;Etat de charge de la batterie de traction;Demande de force aux roues lorsque la consigne du groupe motopropulseur est égal à zéro;Température bac de la batterie de traction;Courant batterie de traction mesuré par LBC
Temps;M-02-00;M-38-00;M-39-00;M-44-00;M-37-00;M-1B-00
sec;km/h;Volt;%;Nm;°C;A
0,000;0,0;0;0;0;0;0
0,098;0,0;383,50;0;0;0;0
0,194;0,0;383,50;85,3;0;0;0
0,290;0,0;383,50;85,3;-16384;0;0
0,386;0,0;383,50;85,3;-16384;19;0
0,482;0,0;383,50;85,3;-16384;19;-0,65
0,530;0,0;383,50;85,3;-16384;19;-0,65
0,576;0,0;383,50;85,3;-16384;19;-0,65
0,623;0,0;383,50;85,3;-16384;19;-0,65
0,671;0,0;383,50;85,3;-16384;19;-0,65
0,707;0,0;383,50;85,3;-16384;19;-0,65
0,754;0,0;383,50;85,3;-16384;19;-0,65
0,802;0,0;383,50;85,3;-16384;19;-0,65
0,850;0,0;383,50;85,3;-16384;19;-0,65
0,898;0,0;383,50;85,3;-16384;19;-0,65
0,946;0,0;383,50;85,3;-16384;19;-0,65
0,994;0,0;383,50;85,3;-16384;19;-0,65
1,042;0,0;383,50;85,3;-16384;19;-0,65
1,090;0,0;383,50;85,3;-16384;19;-0,65
1,137;0,0;383,00;85,3;-16384;19;-0,65
1,184;0,0;383,00;85,3;-16384;19;-0,65
1,230;0,0;383,00;85,3;-16384;19;-0,65
1,276;0,0;383,00;85,3;-16384;19;-0,65
1,323;0,0;383,00;85,3;-16384;19;-0,65
1,354;0,0;383,00;85,3;-16384;19;-0,65
1,394;0,0;383,50;85,3;-16384;19;-0,65
1,442;0,0;383,50;85,3;-16384;19;-0,65
1,490;0,0;383,50;85,3;-16384;19;-0,65
1,522;0,0;383,50;85,3;-16384;19;-0,65
1,570;0,0;383,50;85,3;-16384;19;-0,65
1,602;0,0;383,50;85,3;-16384;19;-0,65
1,650;0,0;383,50;85,3;-16384;19;-0,65
1,682;0,0;383,50;85,3;-16384;19;-0,65
1,729;0,0;383,50;85,3;-16384;19;-0,65
1,776;0,0;383,50;85,3;-16384;19;-0,65
1,824;0,0;383,50;85,3;-16384;19;-0,65
1,869;0,0;383,50;85,3;-16384;19;-0,65
1,916;0,0;383,50;85,3;-16384;19;-0,65
1,963;0,0;383,50;85,3;-16384;19;-0,65
2,010;0,0;383,50;85,3;-16384;19;-0,65
2,050;0,0;383,50;85,3;-16384;19;-0,65
2,082;0,0;383,50;85,3;-16384;19;-0,65
2,130;0,0;383,50;85,3;-16384;19;-0,65
2,178;0,0;383,50;85,3;-16384;19;-0,65
2,226;0,0;383,50;85,3;-16384;19;-0,65
2,274;0,0;383,50;85,3;-16384;19;-0,65
2,321;0,0;383,50;85,3;-16384;19;-0,65
2,352;0,0;383,50;85,3;-16384;19;-0,65
