Temps;Vitesse du véhicule;Courant batterie de traction mesuré par LBC
Temps;M-02-00;M-1B-00
sec;km/h;A
0,000;43,8;0
0,100;43,8;-66,90
0,162;44,4;-66,90
0,201;44,4;-65,15
0,234;44,5;-65,15
0,283;44,5;-64,15
0,333;44,6;-64,15
0,380;44,6;-60,15
0,438;44,8;-60,15
0,485;44,8;-57,15
0,533;44,9;-57,15
0,564;44,9;-55,15
0,617;45,0;-55,15
0,665;45,0;-53,15
0,718;45,1;-53,15
0,764;45,1;-50,15
0,817;45,3;-50,15
0,865;45,3;-47,15
0,918;45,3;-47,15
0,965;45,3;-45,15
1,017;45,4;-45,15
1,065;45,4;-43,40
1,118;45,6;-43,40
1,165;45,6;-41,15
1,217;45,6;-41,15
1,265;45,6;-39,40
1,317;45,6;-39,40
1,368;45,6;-37,90
1,417;45,6;-37,90
1,464;45,6;-36,90
1,517;45,7;-36,90
1,564;45,7;-35,40
1,617;45,7;-35,40
1,664;45,7;-34,40
1,717;45,8;-34,40
1,764;45,8;-34,65
1,818;45,8;-34,65
1,876;45,8;-33,90
1,934;45,8;-33,90
1,982;45,8;-33,15
2,034;45,9;-33,15
2,081;45,9;-32,40
2,133;45,9;-32,40
2,186;45,9;-32,40
2,233;46,0;-32,40
2,281;46,0;-31,65
2,334;46,1;-31,65
2,382;46,1;-31,15
2,434;46,1;-31,15
2,483;46,1;-30,40
2,534;46,1;-30,40
2,582;46,1;-29,65
2,635;46,1;-29,65
2,683;46,1;-29,40
2,735;46,1;-29,40
2,783;46,1;-28,90
2,836;46,2;-28,90
2,873;46,2;-28,40
2,936;46,2;-28,40
2,988;46,2;-27,65
3,037;46,3;-27,65
3,085;46,3;-27,15
3,138;46,3;-27,15
3,186;46,3;-26,65
3,236;46,4;-26,65
3,284;46,4;-26,15
3,336;46,4;-26,15
3,385;46,4;-25,65
3,443;46,4;-25,65
3,506;46,4;-24,90
3,562;46,5;-24,90
3,605;46,5;-24,40
3,653;46,6;-24,40
3,705;46,6;-23,90
3,752;46,6;-23,90
3,784;46,6;-23,90
3,828;46,6;-23,90
3,884;46,6;-23,40
3,934;46,6;-23,40
3,981;46,6;-23,40
4,041;46,5;-23,40
4,088;46,5;-23,15
4,138;46,5;-23,15
4,186;46,5;-23,15
4,237;46,6;-23,15
4,285;46,6;-23,40
4,337;46,6;-23,40
4,385;46,6;-23,15
4,437;46,6;-23,15
4,485;46,6;-22,90
4,537;46,5;-22,90
4,585;46,5;-22,90
4,639;46,5;-22,90
4,686;46,5;-23,15
4,738;46,5;-23,15
4,785;46,5;-23,15
4,837;46,4;-23,15
4,891;46,4;-23,15
4,953;46,4;-23,15
4,984;46,4;-23,15
5,044;46,4;-23,15
5,088;46,4;-23,90
5,139;46,4;-23,90
5,187;46,4;-25,65
5,240;46,4;-25,65
5,291;46,4;-27,40
5,323;46,4;-27,40
5,371;46,4;-28,40
5,407;46,4;-28,40
5,463;46,4;-28,90
5,507;46,4;-28,90
5,554;46,4;-29,15
5,608;46,4;-29,15
5,654;46,4;-29,15
5,708;46,4;-29,15
5,757;46,4;-29,15
5,808;46,4;-29,15
5,866;46,4;-28,15
5,908;46,4;-28,15
5,961;46,4;-27,90
5,993;46,4;-27,90
6,042;46,4;-27,40
6,073;46,4;-27,40
6,127;46,4;-28,15
6,174;46,4;-28,15
6,233;46,4;-26,65
6,276;46,4;-26,65
6,314;46,4;-27,15
6,362;46,4;-27,15
6,394;46,4;-27,65
6,442;46,4;-27,65
6,474;46,4;-26,90
6,530;46,3;-26,90
6,577;46,3;-25,15
6,626;46,3;-25,15
6,682;46,3;-23,65
6,743;46,4;-23,65
6,791;46,4;-23,40
6,847;46,4;-23,40
6,895;46,4;-24,65
6,946;46,4;-24,65
6,989;46,4;-23,90
7,044;46,4;-23,90
7,091;46,4;-22,90
7,143;46,3;-22,90
7,192;46,3;-22,15
7,243;46,3;-22,15
7,290;46,3;-21,65
7,344;46,3;-21,65
7,392;46,3;-21,40
7,444;46,4;-21,40
7,491;46,4;-22,65
7,544;46,2;-22,65
7,612;46,2;-19,65
7,643;46,2;-19,65
7,692;46,2;-18,40
7,744;46,2;-18,40
7,793;46,2;-17,65
7,844;46,1;-17,65
7,892;46,1;-17,40
7,944;46,0;-17,40
7,997;46,0;-14,65
8,045;46,0;-14,65
8,094;46,0;-14,15
8,145;46,0;-14,15
8,193;46,0;-12,90
8,244;45,9;-12,90
8,291;45,9;-12,40
8,344;45,9;-12,40
8,391;45,9;-11,40
8,445;45,8;-11,40
8,494;45,8;-9,90
8,544;45,6;-9,90
8,591;45,6;-6,65
8,645;45,5;-6,65
8,693;45,5;-3,15
8,745;45,4;-3,15
8,792;45,4;-2,65
8,844;45,3;-2,65
8,898;45,3;-3,15
8,946;45,2;-3,15
8,995;45,2;-3,40
9,046;45,1;-3,40
9,094;45,1;-2,15
9,146;44,9;-2,15
9,194;44,9;-1,65
9,245;44,8;-1,65
9,293;44,8;-1,40
9,346;44,7;-1,40
9,394;44,7;-1,15
9,451;44,6;-1,15
9,499;44,6;-0,90
9,545;44,5;-0,90
9,594;44,5;-0,65
9,645;44,3;-0,65
9,693;44,3;-0,40
9,756;44,2;-0,40
9,815;44,2;0,10
9,862;44,0;0,10
9,894;44,0;0,35
9,946;43,9;0,35
9,995;43,9;3,35
10,046;43,8;3,35
10,093;43,8;4,35
10,146;43,6;4,35
10,195;43,6;8,10
10,247;43,4;8,10
10,295;43,4;8,85
10,347;43,2;8,85
10,393;43,2;9,60
10,458;42,9;9,60
10,516;42,9;7,10
10,564;42,9;7,10
10,616;42,9;1,35
10,664;42,7;1,35
10,715;42,7;0,85
10,775;42,4;0,85
10,815;42,4;2,10
10,863;42,2;2,10
10,916;42,2;3,60
10,965;42,0;3,60
11,016;42,0;3,60
11,064;41,9;3,60
11,117;41,9;3,85
11,164;41,7;3,85
11,217;41,7;6,35
11,264;41,6;6,35
11,317;41,6;9,85
11,364;41,4;9,85
11,418;41,4;11,85
